idelem,descripcion,accesoAsociado,intensidad,ocupacion,carga,nivelServicio,intensidadSat,error,subarea,st_x,st_y,velocidad
5037,GRAL. RICARDOS O-E(PAULINA ODIAGA-SALLABERRY),492503,576,4,22,0,3000,N,1756,"438720,62517664","4471773,08826381",
5038,GRAL. RICARDOS O-E(PAULINA ODIAGA-PEÑAFIEL),490202,576,5,23,0,3000,N,1756,"438633,538351099","4471719,09086033",
5039,GRAL. RICARDOS O-E(ALEJANDRO SANCHEZ-TOBOSO),490204,396,3,15,0,3000,N,1756,"438417,134079401","4471558,55168981",
5040,GRAL. RICARDOS E-O(SALLABERRY-PAULINA ODIAGA),492502,540,4,21,0,3000,N,1756,"438713,94838314","4471775,38548489",
5041,GRAL. RICARDOS O-E(CLARISAS-ALEJANDRO SANCHEZ),492604,504,4,20,0,3000,N,1756,"438216,974579076","4471409,78740693",
5042,GRAL. RICARDOS E-O(ALEJANDRO SANCHEZ-PEDRO DIEZ),490102,720,6,28,1,3000,N,1756,"438238,683594357","4471434,5894827",
5043,GRAL. RICARDOS O-E(CASTRO ORO-CLARISAS),490104,504,4,20,0,3000,N,1756,"438049,356385036","4471266,2942567",
5044,GRAL. RICARDOS O-E(OPORTO-CASTRO ORO),490404,504,4,20,0,3000,N,1756,"437967,015845044","4471193,78560976",
5045,(AFOROS) GRAL. RICARDOS E-O(GAVIOTA-FCO. GARCIA),490602,360,6,29,1,1500,N,1756,"437709,887477957","4470984,37455566",
5046,(AFOROS) GRAL. RICARDOS O-E(ALEJANDRO MORAN-OPORTO),492804,396,4,16,0,3000,N,1756,"437757,457626476","4471018,61675088",
5047,GRAL. RICARDOS E-O( FCO. GARCIA-PL. TOROS),490702,252,3,19,0,1500,N,1756,"437539,340701271","4470840,68808247",
5048,GRAL. RICARDOS O-E(PSO. MARCELINO CAMACHO-PL. TOROS),490704,252,2,18,0,1500,N,1756,"437344,812131673","4470744,91779962",
